sampleName	originalIndex	Cell.Type..Samples	MajorType	JustPyra	GabaDeep	PyramidalDeep	WithOxtr	WithHtr3a	CellType	forContanim	Normalize2.0	Normalize	MainName	Description	Region	Anatomical.Region	Age	AgeExact	Method	RNA.isolation.method	RNA.amplification.and.labeling.method	Platform	Reference	PMID	SharePermit	Notes	MouseStrain	ReporterGene	Cortex.Astrocyte	Cortex.Gabaergic	Cortex.Microglia	Cortex.Oligo	Cortex.Pyramidal	Brainstem.Astrocyte	Brainstem.Microglia	Brainstem.MotorCholin	Brainstem.Oligo	Brainstem.Serotonergic	Forebrain.Astrocyte	Forebrain.Cholin	Forebrain.Microglia	Forebrain.Oligo	SpinalCord.Astrocyte	SpinalCord.Microglia	SpinalCord.MotorCholin	SpinalCord.Oligo	Striatum.Astrocyte	Striatum.Cholin	Striatum.Microglia	Striatum.Oligo	Striatum.Spiny	Cerebellum.Astrocyte	Cerebellum.Basket	Cerebellum.CerebGranule	Cerebellum.Golgi	Cerebellum.Microglia	Cerebellum.Oligo	Cerebellum.Purkinje	Amygdala.Astrocyte	Amygdala.Gluta	Amygdala.Microglia	Amygdala.Oligo	Amygdala.Pyramidal	Hippocampus.Astrocyte	Hippocampus.DentateGranule	Hippocampus.Gabaergic	Hippocampus.Microglia	Hippocampus.Oligo	Hippocampus.Pyramidal	Thalamus.Astrocyte	Thalamus.Gabaergic	Thalamus.Hypocretinergic	Thalamus.Microglia	Thalamus.Oligo	Midbrain.Astrocyte	Midbrain.Cholin	Midbrain.Dopaminergic	Midbrain.Microglia	Midbrain.Oligo	Midbrain.Serotonergic	LocusCereuleus.Astrocyte	LocusCereuleus.Microglia	LocusCereuleus.Oligo	LocusCereuleus.Th_positive_LC	Ependymal.Astrocyte	Ependymal.Ependymal	Ependymal.Microglia	Ependymal.Oligo
GSM37097	24	A_corticospinal_P14:GSM37097,GSM37098	Neuron	PyramidalMC	Pyramidal	NA	NA	NA	Pyramidal	Pyramidal	FALSE	TRUE	PyramidalCorticospineMC	Pyramidal Neurons, Corticospinal, P14	Cortex	L5 MC	14-35	14	FACS	StrataPrep Total RNA Micro Kit		GPL339	Arlotta et al., 2005	15664173	TRUE	NA			0.168890314442476	0.243710279188457	0.211849103053103	0.155331735933244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM37098	24	A_corticospinal_P14:GSM37097,GSM37098	Neuron	PyramidalMC	Pyramidal	NA	NA	NA	Pyramidal	Pyramidal	FALSE	TRUE	PyramidalCorticospineMC	Pyramidal Neurons, Corticospinal, P14	Cortex	L5 MC	14-35	14	FACS	StrataPrep Total RNA Micro Kit		GPL339	Arlotta et al., 2005	15664173	TRUE	NA			0.162596140032435	0.27812084642466	0.180602266931813	0.198218780045698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM37099	25	A_corticotecal_P14:GSM37099,GSM37100	Neuron	PyramidaCorticotectalVC	Pyramidal	NA	NA	NA	Pyramidal	Pyramidal	FALSE	TRUE	PyramidaCorticotectalVC	Pyramidal Neurons, Corticotectal, P14	Cortex	L5 VC	14-35	14	FACS	StrataPrep Total RNA Micro Kit	T7 IVT	GPL339	Arlotta et al., 2005	15664173	TRUE	NA			0.156261055228282	0.167583127112407	0.172443121767129	0.168016852086793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM37100	25	A_corticotecal_P14:GSM37099,GSM37100	Neuron	PyramidaCorticotectalVC	Pyramidal	NA	NA	NA	Pyramidal	Pyramidal	FALSE	TRUE	PyramidaCorticotectalVC	Pyramidal Neurons, Corticotectal, P14	Cortex	L5 VC	14-35	14	FACS	StrataPrep Total RNA Micro Kit	T7 IVT	GPL339	Arlotta et al., 2005	15664173	TRUE	NA			0.163478318082996	0.228484401425757	0.178574170766378	0.172791687410059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63033	26	S_bcg: GSM63033, GSM63034, GSM63035	Neuron	PyramidalCorticoThalam	Pyramidal	PyramidalCorticoThalam	PyramidalCorticoThalam	PyramidalCorticoThalam	Pyramidal	Pyramidal	FALSE	TRUE	PyramidalCorticoThalam	Pyramidal Neurons	Cortex	L6 CC	46-80	60	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			0.146597197529861	0.145917560169224	0.181983058566705	0.15961621195443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63034	26	S_bcg: GSM63033, GSM63034, GSM63035	Neuron	PyramidalCorticoThalam	Pyramidal	PyramidalCorticoThalam	PyramidalCorticoThalam	PyramidalCorticoThalam	Pyramidal	Pyramidal	FALSE	TRUE	PyramidalCorticoThalam	Pyramidal Neurons	Cortex	L6 CC	46-80	60	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			0.146815308776179	0.143157096415964	0.187230223351327	0.164468623425689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63035	26	S_bcg: GSM63033, GSM63034, GSM63035	Neuron	PyramidalCorticoThalam	Pyramidal	PyramidalCorticoThalam	PyramidalCorticoThalam	PyramidalCorticoThalam	Pyramidal	Pyramidal	FALSE	TRUE	PyramidalCorticoThalam	Pyramidal Neurons	Cortex	L6 CC	46-80	60	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			0.153722945994966	0.152446954743204	0.185149449598325	0.14619001990539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63039	27	S_yfp_si: GSM63039, GSM63040, GSM63041	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Cortex	L5-6 SC	46-80	61	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			0.152214353838778	0.164358676920936	0.167192384491913	0.14006362308524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63040	27	S_yfp_si: GSM63039, GSM63040, GSM63041	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Cortex	L5-6 SC	46-80	61	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			0.155557647089296	0.197045901556325	0.173105776281373	0.128084932350339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63041	27	S_yfp_si: GSM63039, GSM63040, GSM63041	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Cortex	L5-6 SC	46-80	61	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			0.153450792881956	0.196547303401748	0.168346210012486	0.129445647209088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63036	28	S_yfp_cg: GSM63036, GSM63037, GSM63038	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Cortex	L5 CC	46-80	62	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			0.149002054850324	0.189554745354713	0.15949733288957	0.138571451259679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63037	28	S_yfp_cg: GSM63036, GSM63037, GSM63038	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Cortex	L5 CC	46-80	62	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			0.144304461204529	0.193433317649224	0.162759656830826	0.134481583292446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63038	28	S_yfp_cg: GSM63036, GSM63037, GSM63038	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Cortex	L5 CC	46-80	62	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			0.147352808246014	0.178133528331653	0.164042323116447	0.132987302380049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63045	29	S_yfp_a:y111a,y120a,y90a: GSM63045, GSM63046, GSM63047	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Amygdala	Amyg	46-80	63	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.147782828568176	0.625452046929753	0.151793591580346	0.143374190975805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63046	29	S_yfp_a:y111a,y120a,y90a: GSM63045, GSM63046, GSM63047	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Amygdala	Amyg	46-80	63	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.139258148000122	0.609861214293896	0.14209588449703	0.147425400602146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63047	29	S_yfp_a:y111a,y120a,y90a: GSM63045, GSM63046, GSM63047	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Amygdala	Amyg	46-80	63	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.148031402526162	0.553410161856978	0.14488179565147	0.16381573293292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63042	30	S_yfp_h:y104h,y43h,y81h: GSM63042, GSM63043, GSM63044	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Hippocampus	Hippo	46-80	64	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.119026128170474	0.31026561816913	0.356869118263394	0.163670861959387	0.12804525921297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63043	30	S_yfp_h:y104h,y43h,y81h: GSM63042, GSM63043, GSM63044	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Hippocampus	Hippo	46-80	64	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.126383439390934	0.330474534873643	0.381520155729682	0.165075964325286	0.12286131262752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63044	30	S_yfp_h:y104h,y43h,y81h: GSM63042, GSM63043, GSM63044	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal_Thy1	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Hippocampus	Hippo	46-80	64	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.132632236739271	0.309866333800004	0.399484200814234	0.159458181754282	0.110926477915023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63048	31	S_g30_a:s44am,s61am,s63am GSE2882 for all sugino: GSM63048, GSM63049, GSM63050	Neuron	NA	Gluta	Gluta	Gluta	Gluta	Gluta	Gluta	FALSE	TRUE	Gluta	Glutamatergic Neuron (not well defined)	Amygdala	Amygdala	46-80	65	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.143629872572806	NA	0.145420154784222	0.147386765559873	0.574679130361587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63049	31	S_g30_a:s44am,s61am,s63am GSE2882 for all sugino: GSM63048, GSM63049, GSM63050	Neuron	NA	Gluta	Gluta	Gluta	Gluta	Gluta	Gluta	FALSE	TRUE	Gluta	Glutamatergic Neuron (not well defined)	Amygdala	Amygdala	46-80	65	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.156943449230207	NA	0.153187165400073	0.13808028071467	0.573630587516106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63050	31	S_g30_a:s44am,s61am,s63am GSE2882 for all sugino: GSM63048, GSM63049, GSM63050	Neuron	NA	Gluta	Gluta	Gluta	Gluta	Gluta	Gluta	FALSE	TRUE	Gluta	Glutamatergic Neuron (not well defined)	Amygdala	Amygdala	46-80	65	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.156206896850447	NA	0.157127425072222	0.150165642549185	0.543500290720333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63024	32	S_g30_cg GSM63024, GSM63025, GSM63026	Neuron	NA	GabaVIPReln	GabaVIPReln	GabaVIPReln	GabaVIPReln	Gaba	Gabaergic	FALSE	TRUE	GabaVIPReln	GABAergic Interneurons, VIP+	Cortex	Cingulate Cortex	46-80	66	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G30	Gad2	0.176570913212619	NA	0.172653900963265	0.148126122388919	0.219280613147968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63025	32	S_g30_cg GSM63024, GSM63025, GSM63026	Neuron	NA	GabaVIPReln	GabaVIPReln	GabaVIPReln	GabaVIPReln	Gaba	Gabaergic	FALSE	TRUE	GabaVIPReln	GABAergic Interneurons, VIP+	Cortex	Cingulate Cortex	46-80	66	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G30	Gad2	0.180669603812768	NA	0.179834500694427	0.157971789520831	0.234724361312227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63026	32	S_g30_cg GSM63024, GSM63025, GSM63026	Neuron	NA	GabaVIPReln	GabaVIPReln	GabaVIPReln	GabaVIPReln	Gaba	Gabaergic	FALSE	TRUE	GabaVIPReln	GABAergic Interneurons, VIP+	Cortex	Cingulate Cortex	46-80	66	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G30	Gad2	0.184170069627246	NA	0.173847088896246	0.15668183679937	0.218272215122669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63027	33	S_g30_si  GSM63027, GSM63028, GSM63029	Neuron	NA	GabaVIPReln	GabaVIPReln	GabaVIPReln	GabaVIPReln	Gaba	Gabaergic	FALSE	TRUE	GabaVIPReln	GABAergic Interneurons, VIP+	Cortex	Somatosensory Cortex	46-80	67	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G30	Gad2	0.178851640866244	NA	0.1694834901358	0.16130976211101	0.364327741715877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63028	33	S_g30_si  GSM63027, GSM63028, GSM63029	Neuron	NA	GabaVIPReln	GabaVIPReln	GabaVIPReln	GabaVIPReln	Gaba	Gabaergic	FALSE	TRUE	GabaVIPReln	GABAergic Interneurons, VIP+	Cortex	Somatosensory Cortex	46-80	67	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G30	Gad2	0.183616467284437	NA	0.17714733529539	0.14515921826558	0.261193421950233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63029	33	S_g30_si  GSM63027, GSM63028, GSM63029	Neuron	NA	GabaVIPReln	GabaVIPReln	GabaVIPReln	GabaVIPReln	Gaba	Gabaergic	FALSE	TRUE	GabaVIPReln	GABAergic Interneurons, VIP+	Cortex	Somatosensory Cortex	46-80	67	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G30	Gad2	0.177276379240824	NA	0.172232496272011	0.139539317707392	0.373221309443885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63018	34	S_gin_cg GSM63018, GSM63019, GSM63020	Neuron	NA	GabaRelnCalb	GabaRelnCalb	GabaRelnCalb	GabaRelnCalb	Gaba	Gabaergic	FALSE	TRUE	GabaRelnCalb	GABAergic Interneurons, SST+	Cortex	Cingulate Cortex	46-80	68	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	GIN	Gad1	0.164834061491919	NA	0.187333173511747	0.149820892629214	0.237409235224838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63019	34	S_gin_cg GSM63018, GSM63019, GSM63020	Neuron	NA	GabaRelnCalb	GabaRelnCalb	GabaRelnCalb	GabaRelnCalb	Gaba	Gabaergic	FALSE	TRUE	GabaRelnCalb	GABAergic Interneurons, SST+	Cortex	Cingulate Cortex	46-80	68	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	GIN	Gad1	0.178918063722834	NA	0.184528727173625	0.15812378397539	0.246778962178247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM63020	34	S_gin_cg GSM63018, GSM63019, GSM63020	Neuron	NA	GabaRelnCalb	GabaRelnCalb	GabaRelnCalb	GabaRelnCalb	Gaba	Gabaergic	FALSE	TRUE	GabaRelnCalb	GABAergic Interneurons, SST+	Cortex	Cingulate Cortex	46-80	68	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	GIN	Gad1	0.178686052007473	NA	0.189031688338095	0.156478866201828	0.242637442327166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
