HID	humanGene	mouseGene
6607	IMMP2L	Immp2l
6612	BOP1	Bop1
6628	WDR1	Wdr1
6629	UTP15	Utp15
6636	HMCES	Hmces
6641	DHX37	Dhx37
6644	GRWD1	Grwd1
6645	CCDC25	Ccdc25
6659	WRN	Wrn
6668	USP27X	Usp27x
6673	VPS11	Vps11
6678	SF3B2	Sf3b2
6681	SLC30A1	Slc30a1
6693	PGM2	Pgm1
6696	SF3B1	Sf3b1
6697	DDX18	Ddx18
6699	QRSL1	Qrsl1
6700	FILIP1	Filip1
6704	C9orf114	D2Wsu81e
6713	FIG4	Fig4
6716	ABHD13	Abhd13
6730	RFC5	Rfc5
6741	PI4KB	Pi4kb
6747	MRPL46	Mrpl46
6750	NARFL	Narfl
6752	DNAJC21	Dnajc21
6754	SSU72	Ssu72
6756	ALG9	Alg9
6760	RIOK2	Riok2
6768	MRPL11	Mrpl11
6774	FAHD1	Fahd1
6779	ZFAND1	Zfand1
6781	LSM7	Lsm7
6785	NAT10	Nat10
6787	NMRK1	Nmrk1
6797	DDX5	Ddx5
6802	POLA1	Pola1
6804	ING3	Ing3
6806	C9orf41	2410127L17Rik
6814	DLAT	Dlat
6815	HEMK1	Hemk1
6816	TRMT6	Trmt6
6818	ACTR5	Actr5
6820	LTA4H	Lta4h
6821	AARSD1	Aarsd1
6828	NSUN5	Nsun5
6833	MLST8	Mlst8
6834	SLC25A26	Slc25a26
6835	PELO	Pelo
6836	ATG3	Atg3
6838	DUS2	Dus2
6843	CBWD1	Cbwd1
6848	MRPS12	Mrps12
6850	DDX51	Ddx51
6858	GNL2	Gnl2
6862	AIFM2	Aifm2
6867	EXOSC3	Exosc3
6870	WDR24	Wdr24
6872	RBX1	Gm9840
6875	TRMT13	Trmt13
6876	TRMT11	Trmt11
6879	USP6NL	Usp6nl
6885	RFC2	Rfc2
6886	TRMT10A	Trmt10a
6891	NAA25	Naa25
6899	ASS1	Ass1
6907	EARS2	Ears2
6908	C11orf73	l7Rn6
6910	DIS3	Dis3
6916	COQ10B	Coq10b
6920	ALG6	Alg6
6922	TSR3	Tsr3
6924	SIRT6	Sirt6
6927	XRN2	Xrn2
6931	ALG8	Alg8
6935	SLC39A9	Slc39a9
6937	TUSC3	Tusc3
6943	RPIA	Rpia
6945	RRAS2	Rras2
6947	SCYL1	Scyl1
6950	RIOK1	Riok1
6953	COQ7	Coq7
6957	SLC25A15	Slc25a15
6960	TPK1	Tpk1
6961	PNO1	Pno1
6971	MBOAT2	Mboat2
6973	PSAT1	Psat1
6980	NOC2L	Noc2l
6981	POLR3B	Polr3b
6988	SLC25A21	Slc25a21
6991	ISCU	Iscu
6992	GRPEL1	Grpel1
6997	FPGS	Fpgs
6998	PUS7	Pus7
7005	EIF2B3	Eif2b3
7006	GPN2	Gpn2
7010	TRIT1	Trit1
7012	PDCL3	Pdcl3
7014	TSTD1	Tstd1
7024	NOP58	Nop58
7033	POLR1A	Polr1a
7042	CRY1	Cry1
7047	DIMT1	Dimt1
7056	SRP68	Srp68
7060	ALG5	Alg5
7065	BMS1	Bms1
7068	TYW1	Tyw1
7069	GDPD1	Gdpd1
7082	TMEM110-MUSTN1	Tmem110
7083	LARS	Lars
7089	IPO11	Ipo11
7090	GTF2H4	Gtf2h4
7093	DARS2	Dars2
7094	NAPEPLD	Napepld
7096	ROMO1	Romo1
7097	YARS2	Yars2
7100	GTPBP4	Gtpbp4
7105	ELP3	Elp3
7109	PIGC	Pigc
7116	VPS16	Vps16
7118	IARS2	Iars2
7133	POLR1B	Polr1b
7135	EIF6	Eif6
7139	ATP6V1H	Atp6v1h
7140	TIPRL	Tiprl
7144	NDOR1	Ndor1
7150	TXNL4A	Txnl4a
7151	PHF5A	Phf5a
7155	COG4	Cog4
7157	PSMD6	Psmd6
7158	RBM19	Rbm19
7159	CDIPT	Cdipt
7160	MRI1	Mri1
7165	NAA20	Naa20
7178	POLR2F	Polr2f
7184	AGRP	Agrp
7186	PSEN1	Psen1
7187	GRIN1	Grin1
7189	TRPA1	Trpa1
7191	MON1A	Mon1a
7192	AAED1	Aaed1
7198	ZNF236	Zfp236
7199	OGFR	Ogfr
7203	PHLDA1	Phlda1
7206	COG2	Cog2
7207	MTF2	Mtf2
7208	CASC3	Casc3
7212	NONO	Nono
7213	TMED3	Tmed3
7214	PADI2	Padi2
7216	RALY	Raly
7217	RASA3	Rasa3
7219	SHOC2	Shoc2
7220	SIX6	Six6
7221	TARDBP	Tardbp
7229	ALX4	Alx4
7230	ARNT2	Arnt2
7231	ART5	Art5
7233	ASTN1	Astn1
7234	NEUROD4	Neurod4
7239	AUP1	Aup1
7240	BACH2	Bach2
7241	BARX1	Barx1
7242	BAX	Bax
7243	BCL6B	Bcl6b
7244	BCAN	Bcan
7245	BDNF	Bdnf
7246	SIRPA	Sirpa
7247	BMP4	Bmp4
7248	BIRC6	Birc6
7249	C1QA	C1qa
7252	CAPN6	Capn6
7253	CAPZA3	Capza3
7254	CASP2	Casp2
7255	CAV3	Cav3
7256	CBX2	Cbx2
7257	CBX5	Cbx5
7258	CCKBR	Cckbr
7259	MS4A1	Ms4a1
7260	CD5	Cd5
7262	CDR2	Cdr2
7266	VSX2	Vsx2
7271	CCR10	Ccr10
7273	CNR1	Cnr1
7274	CNTN1	Cntn1
7278	CPEB1	Cpeb1
7282	CSF1	Csf1
7288	DACH1	Dach1
7291	DLL3	Dll3
7292	DLX4	Dlx4
7293	DNAJC1	Dnajc1
7294	DNMT3A	Dnmt3a
7297	EBF1	Ebf1
7298	ECT2	Ect2
7299	EEF2K	Eef2k
7301	EHF	Ehf
7303	ELF1	Elf1
7308	ETV2	Etv2
7309	MPZL2	Mpzl2
7314	PTK2	Ptk2
7316	FGF7	Fgf7
7317	SH3PXD2A	Sh3pxd2a
7318	FOXM1	Foxm1
7321	FLT4	Flt4
7322	FOLR1	Folr1
7324	FST	Fst
7325	FZD4	Fzd4
7326	G0S2	G0s2
7327	GABRB2	Gabrb2
7329	B4GALNT2	B4galnt2
7336	GDF3	Gdf3
7337	ARHGDIG	Arhgdig
7338	GJB3	Gjb3
7339	GJB4	Gjb4
7343	GPAM	Gpam
7344	GPR27	Gpr27
7345	GPR33	Gpr33
7346	RHPN1	Rhpn1
7350	C16orf80	Gtl3
7351	THUMPD3	Thumpd3
7352	GUCA2A	Guca2a
7355	HDGFRP2	Hdgfrp2
7358	HES3	Hes3
7359	FOXQ1	Foxq1
7360	MST1	Mst1
7362	TFB2M	Tfb2m
7363	HLX	Hlx
7364	HN1	Hn1
7365	HOXA10	Hoxa10
7366	HOXB6	Hoxb6
7367	HOXB9	Hoxb9
7368	HOXD11	Hoxd11
7369	HOXD12	Hoxd12
7374	TRMT2A	Trmt2a
7378	IL17RA	Il17ra
7379	GIMAP1	Gimap1
7380	LRIG1	Lrig1
7381	INHBE	Inhbe
7385	IRX3	Irx3
7387	STT3B	Stt3b
7388	ITM2B	Itm2b
7389	CUZD1	Cuzd1
7390	JUNB	Junb
7391	KCNK4	Kcnk4
7392	KCNU1	Kcnu1
7396	KLF3	Klf3
7399	LGALS1	Lgals1
7401	LHX6	Lhx6
7405	LTBP3	Ltbp3
7406	LTC4S	Ltc4s
7409	TM4SF1	Tm4sf1
7410	AMACR	Amacr
7411	MAN2B2	Man2b2
7412	MC3R	Mc3r
7413	MCL1	Mcl1
7414	ANAPC1	Anapc1
7418	MEN1	Men1
7420	MESP2	Mesp2
7421	SYPL2	Sypl2
7424	MRAS	Mras
7425	MEIS3	Meis3
7427	LAPTM4A	Laptm4a
7428	MAST2	Mast2
7433	GADD45B	Gadd45b
7435	MYT1L	Myt1l
7436	NAP1L2	Nap1l2
7438	NBR1	Nbr1
7439	NEDD1	Nedd1
7440	NFYC	Nfyc
7442	MAP4K4	Map4k4
7444	NKX2-8	Nkx2-9
7447	ZNF638	Zfml
7450	NRTN	Nrtn
7451	HMP19	Nsg2
7452	NTSR2	Ntsr2
7454	NXPH2	Nxph2
7455	OAZ1	Oaz1
7456	ODF1	Odf1
7458	FXYD5	Fxyd5
7459	OR2C1	Olfr15
7460	OR10J5	Olfr16
7461	CNTN3	Cntn3
7464	PCP2	Pcp2
7470	PICK1	Pick1
7473	PKIA	Pkia
7474	PKIB	Pkib
7477	PLA2G2C	Pla2g2c
7481	PLXNA3	Plxna3
7482	PMP22	Pmp22
7483	PPP1R14B	Ppp1r14b
7485	PPARGC1A	Ppargc1a
7486	PPFIBP2	Ppfibp2
7488	PPT1	Ppt1
7490	PRSS12	Prss12
7494	PTDSS1	Ptdss1
7495	PTER	Pter
7496	PTGIR	Ptgir
7497	PTPN2	Ptpn2
7498	PTPN22	Ptpn22
7499	PTRF	Ptrf
7500	PTX3	Ptx3
7502	RAB17	Rab17
7503	RAB23	Rab23
7507	RAG2	Rag2
7508	RAI1	Rai1
7509	RASD1	Rasd1
7511	RBPJ	Rbpj
7512	RBPJL	Rbpjl
7514	REM1	Rem1
7515	REPS1	Reps1
7516	RESP18	Resp18
7517	RET	Ret
7521	RSU1	Rsu1
7522	RTKN	Rtkn
7523	S100A13	S100a13
7524	PRRX2	Prrx2
7525	NKX1-2	Nkx1-2
7526	SCG3	Scg3
7528	STMN3	Stmn3
7529	CCL22	Ccl22
7533	GLG1	Glg1
7534	SH3BP1	Sh3bp1
7536	SHC3	Shc3
7537	SHD	Shd
7539	ST3GAL3	St3gal3
7540	ST3GAL1	St3gal1
7543	SLC4A1AP	Slc4a1ap
7546	SOX18	Sox18
7548	STRBP	Strbp
7550	SEPHS2	Sephs2
7553	WNT8A	Wnt8a
7554	STRA6	Stra6
7557	SWAP70	Swap70
7559	SYT4	Syt4
7560	TAC3	Tac2
7561	TAF6	Taf6
7562	TARBP2	Tarbp2
7563	TCF7L1	Tcf7l1
7564	TCF7L2	Tcf7l2
7565	TCL1A	Tcl1
7567	PHF1	Phf1
7568	TECTB	Tectb
7569	ADAD1	Adad1
7570	TERF1	Terf1
7572	TGFB1I1	Tgfb1i1
7573	TSC22D1	Tsc22d1
7574	TGIF1	Tgif1
7575	TLX2	Tlx2
7582	UBR1	Ubr1
7583	AXL	Axl
7586	KDM6A	Kdm6a
7591	VAMP2	Vamp2
7592	VASP	Vasp
7593	VAX1	Vax1
7594	VCL	Vcl
7596	SLC27A5	Slc27a5
7597	NRSN1	Nrsn1
7598	VPREB3	Vpreb3
7601	ZFP42	Zfp42
7603	ZFP57	Zfp57
7604	ZFP64	Zfp64
7605	ZBTB7B	Zbtb7b
7606	ZFPM1	Zfpm1
7613	ACTL7A	Actl7a
7614	ADAM11	Adam11
7617	ADNP	Adnp
7621	AGTRAP	Agtrap
7623	AICDA	Aicda
7625	AMBN	Ambn
7626	APAF1	Apaf1
7628	NR2F2	Nr2f2
7629	AQR	Aqr
7630	ARHGAP6	Arhgap6
7631	ARTN	Artn
7632	NEUROD6	Neurod6
7633	NEUROG2	Neurog2
7635	ATP2A1	Atp2a1
7638	CEP131	Azi1
7639	BCL2L1	Bcl2l1
7640	BCL6	Bcl6
7642	NGFRAP1	Ngfrap1
7643	BCL2L11	Bcl2l11
7644	BMP10	Bmp10
7645	SMYD1	Smyd1
7649	CACYBP	Cacybp
7650	ASPM	Aspm
7651	CAPN7	Capn7
7652	CFLAR	Cflar
7657	CASP8	Casp8
7658	CAST	Cast
7659	RB1CC1	Rb1cc1
7660	CCNE2	Ccne2
7661	CCRN4L	Ccrn4l
7663	CD2AP	Cd2ap
7664	IFT81	Ift81
7665	CELSR1	Celsr1
7666	CIDEB	Cideb
7667	CISH	Cish
7670	CMAS	Cmas
7671	CNIH2	Cnih2
7672	CNP	Cnp
7673	COL18A1	Col18a1
7674	BCAR1	Bcar1
7677	CSF3	Csf3
7683	DCX	Dcx
7684	ASAP1	Asap1
7688	DGAT1	Dgat1
7689	DKK1	Dkk1
7699	EDAR	Edar
7703	POU6F1	Pou6f1
7706	NR2F6	Nr2f6
7707	SAMD9L	Samd9l
7710	F7	F7
7713	FEM1A	Fem1a
7714	FEM1B	Fem1b
7715	FGF8	Fgf8
7717	FJX1	Fjx1
7718	FKBP10	Fkbp10
7720	FKBP8	Fkbp8
7721	AKTIP	Aktip
7723	GABPB1	Gabpb1
7724	GAL	Gal
7728	GDAP2	Gdap2
7729	MRPS33	Mrps33
7731	GHRH	Ghrh
7732	GPR83	Gpr83
7733	GJA10	Gja10
7734	GJD2	Gjd2
7738	GNGT1	Gngt1
7740	GNG8	Gng8
7741	GNMT	Gnmt
7743	EMB	Emb
7744	GSC	Gsc
7745	GSG1	Gsg1
7747	GSTZ1	Gstz1
7748	GTF2I	Gtf2i
7749	HM13	H13
7751	HLA-DRA	H2-Ea-ps
7755	HES5	Hes5
7756	HEY1	Hey1
7762	FOXA2	Foxa2
7765	HOXA6	Hoxa6
7766	HOXA9	Hoxa9
7768	HOXB8	Hoxb8
7769	HOXC12	Hoxc12
7770	HOXC13	Hoxc13
7772	HOXD1	Hoxd1
7773	HOXD4	Hoxd4
7774	HP1BP3	Hp1bp3
7776	HYAL2	Hyal2
7777	ICA1	Ica1
7778	IER5	Ier5
7781	IL18BP	Il18bp
7782	IKBKB	Ikbkb
7783	IL1R2	Il1r2
7784	IL4R	Il4ra
7785	ILF3	Ilf3
7786	INVS	Invs
7789	AJUBA	Ajuba
7791	KCNA7	Kcna7
7793	KCNJ12	Kcnj12
7794	KCNK2	Kcnk2
7796	KIF12	Kif12
7799	KIFAP3	Kifap3
7800	KIFC2	Kifc2
7801	UHMK1	Uhmk1
7803	HIVEP3	Hivep3
7805	KRT27	Krt27
7809	LAMP2	Lamp2
7810	LARGE	Large
7811	LAT	Lat
7813	LEF1	Lef1
7814	LHX3	Lhx3
7816	LHX9	Lhx9
7818	LMNB2	Lmnb2
7819	LNX1	Lnx1
7820	ZBTB7A	Zbtb7a
7822	MUC13	Muc13
7823	CD93	Cd93
7824	MAB21L2	Mab21l2
7825	MAFF	Maff
7826	CCNDBP1	Ccndbp1
7827	MAL	Mal
7830	MATR3	Matr3
7832	CD46	Cd46
7836	CLEC10A	Clec10a
7836	CLEC10A	Mgl2
7837	MID1	Mid1
7838	BHLHA15	Bhlha15
7839	MLF1	Mlf1
7842	MNT	Mnt
7843	MORC1	Morc1
7844	CLEC4D	Clec4d
7845	MPL	Mpl
7846	MEIS2	Meis2
7850	MAP6	Map6
7856	MYO1B	Myo1b
7857	MYOD1	Myod1
7859	NCOA1	Ncoa1
7861	NFATC2	Nfatc2
7862	NFATC2IP	Nfatc2ip
7863	NFKBIA	Nfkbia
7865	NOTCH2	Notch2
7866	UHRF1	Uhrf1
7867	NPPC	Nppc
7868	NSG1	Nsg1
7869	NTAN1	Ntan1
7870	OIT3	Oit3
7874	OTP	Otp
7875	OTX1	Otx1
7878	CDK16	Cdk16
7879	PDCD4	Pdcd4
7880	PDCD6	Pdcd6
7881	PADI1	Padi1
7882	PADI3	Padi3
7883	PADI4	Padi4
7884	PEA15	Pea15a
7885	PER2	Per2
7886	PER3	Per3
7887	PFDN2	Pfdn2
7888	CDK14	Cdk14
7889	PIK3R1	Pik3r1
7892	PLA2G2D	Pla2g2d
7893	PLD3	Pld3
7895	BPIFA1	Bpifa1
7896	PRRX1	Prrx1
7898	POU2F3	Pou2f3
7899	PPARG	Pparg
7904	PRNP	Prnp
7906	ST14	St14
7908	PTGFRN	Ptgfrn
7909	PTPN13	Ptpn13
7915	PITPNM2	Pitpnm2
7917	RFX3	Rfx3
7918	RHCE	Rhd
7918	RHD	Rhd
7919	RNASE1	Rnase1
7920	RLIM	Rlim
7921	RPH3A	Rph3a
7922	LOC102724828	Mrpl23
7922	MRPL23	Mrpl23
7923	RXRB	Rxrb
7924	S100A4	S100a4
7925	S100A6	S100a6
7927	SCN8A	Scn8a
7929	CCL11	Ccl11
7931	SEMA6C	Sema6c
7934	SHC1	Shc1
7936	CYFIP2	Cyfip2
7937	ST6GALNAC1	St6galnac1
7938	ST6GALNAC3	St6galnac3
7939	ST6GALNAC4	St6galnac4
7940	SIPA1	Sipa1
7948	SOX17	Sox17
7949	SOX7	Sox7
7950	SOX8	Sox8
7951	SPA17	Spa17
7952	SP3	Sp3
7953	SPIC	Spic
7954	SPINK4	Spink4
7955	SPINT2	Spint2
7957	SRMS	Srms
7959	ZNRF4	Znrf4
7960	STAT3	Stat3
7962	PLK4	Plk4
7963	STXBP4	Stxbp4
7964	SYCP3	Sycp3
7965	SDC3	Sdc3
7966	TBX1	Tbx1
7967	TBX15	Tbx15
7968	TBX4	Tbx4
7969	MLX	Mlx
7970	UBTF	Ubtf
7971	TCTE3	Gm3417
7971	TCTE3	Gm3448
7971	TCTE3	Tcte3
7973	TEKT1	Tekt1
7975	TEX264	Tex264
7976	THEG	Theg
7977	MYO18A	Myo18a
7979	TNFSF12	Tnfsf12
7980	DEDD	Dedd
7981	TRAF3	Traf3
7982	TREX1	Trex1
7984	TSKS	Tsks
7985	TUFT1	Tuft1
7986	TYROBP	Tyrobp
7988	UBE3A	Ube3a
7990	UCK1	Uck1
7993	TRPV2	Trpv2
7995	WBP5	Wbp5
7997	WIZ	Wiz
7998	XIRP1	Xirp1
8001	SIAE	Siae
8003	ZNF148	Zfp148
8008	ZFPM2	Zfpm2
8009	ZFR	Zfr
8013	ALOXE3	Aloxe3
8014	BACE1	Bace1
8015	CDH20	Cdh20
8017	DMTF1	Dmtf1
8018	FAIM	Faim
8021	GMCL1	Gmcl1
8022	GREM1	Grem1
8023	GREM2	Grem2
8024	HCST	Hcst
8025	HS2ST1	Hs2st1
8026	LYNX1	Lynx1
8028	MID2	Mid2
8030	NR0B2	Nr0b2
8034	TENM4	Tenm4
8035	OSR1	Osr1
8038	DAZAP2	Dazap2
8040	RNASEL	Rnasel
8041	SCN11A	Scn11a
8042	SPRY4	Spry4
8043	TEKT2	Tekt2
8046	TREX2	Trex2
8047	USP18	Usp18
8048	VAX2	Vax2
8050	CD97	Cd97
8053	FTO	Fto
8056	MAP3K1	Map3k1
8057	NUBP2	Nubp2
8058	CREB3L1	Creb3l1
8059	ORC4	Orc4
8062	MOK	Stk30
8063	SLC27A1	Slc27a1
8064	NCDN	Ncdn
8066	CASP8AP2	Casp8ap2
8067	COPS4	Cops4
8068	COPS7B	Cops7b
8070	SH2D1B	Sh2d1b1
8072	GPRIN1	Gprin1
8073	ZNF346	Zfp346
8076	PRDX5	Prdx5
8077	RACGAP1	Racgap1
8078	ARHGEF28	Arhgef28
8079	ST6GALNAC5	St6galnac5
8080	ECSIT	Ecsit
8081	SPAG1	Spag1
8082	TINAG	Tinag
8083	PLA2G2E	Pla2g2e
8084	PLA2G2F	Pla2g2f
8085	BRD7	Brd7
8088	IRF5	Irf5
8091	NPRL3	Nprl3
8092	CRB1	Crb1
8093	HDHD1	Hdhd1a
8094	ELL2	Ell2
8095	FRAT2	Frat2
8096	ADAT1	Adat1
8097	ICOS	Icos
8100	TRIM29	Trim29
8101	RERE	Rere
8103	STAP1	Stap1
8104	TMEM59L	Tmem59l
8105	CHIC2	Chic2
8106	AHSA1	Ahsa1
8107	TPX2	Tpx2
8108	CBLC	Cblc
8109	CDK20	Cdk20
8110	CDC42EP4	Cdc42ep4
8111	CHORDC1	Chordc1
8112	CIZ1	Ciz1
8114	GTPBP10	Gtpbp10
8115	CLDN14	Cldn14
8116	CLDN17	Cldn17
8117	CLDN8	Cldn8
8118	LMOD1	Lmod1
8120	DDAH1	Ddah1
8121	INTS6	Ints6
8122	DNAI1	Dnaic1
8123	LPAR3	Lpar3
8125	EML2	Eml2
8126	EPB41L1	Epb4.1l1
8127	FBXL3	Fbxl3
8128	FBXL4	Fbxl4
8129	FBXL5	Fbxl5
8130	FBXL6	Fbxl6
8131	FBXW2	Fbxw2
8132	FBXO2	Fbxo2
8133	FBXO3	Fbxo3
8134	FBXO4	Fbxo4
8135	FBXO5	Fbxo5
8136	FBXO7	Fbxo7
8137	FBXO8	Fbxo8
8138	FOXB1	Foxb1
8140	FOXI1	Foxi1
8142	TIMM10B	Timm10b
8143	RABGAP1L	Rabgap1l
8147	GTF3C4	Gtf3c4
8148	HAAO	Haao
8151	ITGA11	Itga11
8153	MGAT4A	Mgat4a
8154	MGEA5	Mgea5
8156	MUTYH	Mutyh
8157	GTPBP6	Gtpbp6
8158	NT5C2	Nt5c2
8159	RYBP	Gm6910
8159	RYBP	Rybp
8160	SCAP	Scap
8164	SIRT4	Sirt4
8166	SLC7A8	Slc7a8
8169	TKTL1	Tktl1
8170	ZNF212	Zfp212
8171	HBP1	Hbp1
8173	LAMP5	Lamp5
8174	TTLL1	Ttll1
8175	RHBDD3	Rhbdd3
8176	DNAJB5	Dnajb5
8177	KCNE1L	Kcne1l
8178	KCNG2	Kcng2
8180	KCNH4	Kcnh4
8182	ACAP2	Acap2
8183	TRAM2	Tram2
8184	KEAP1	Keap1
8189	MAGI2	Magi2
8192	FAIM2	Faim2
8196	KIN	Kin
8199	SLC39A6	Slc39a6
8200	PLA2G15	Pla2g15
8201	MAPK8IP2	Mapk8ip2
8204	MMD	Mmd
8206	ACOT9	Acot9
8206	ACOT9	Acot10
8212	TSPAN12	Tspan12
8213	TSPAN33	Tspan33
8215	BAMBI	Bambi
8216	NUFIP1	Nufip1
8217	FBXO9	Fbxo9
8218	OR10J1	Olfr418-ps1
8219	OR1A1	Olfr403
8219	OR1A1	Olfr43
8225	ORC3	Orc3
8226	TTC33	Ttc33
8227	OSTF1	Ostf1
8228	GMEB2	Gmeb2
8229	NUPR1	Nupr1
8231	SPDEF	Spdef
8233	PHLDA3	Phlda3
8234	ARFIP2	Arfip2
8235	PRDM4	Prdm4
8236	PRND	Prnd
8236	PRND	Prn
8237	SEZ6L2	Sez6l2
8238	QPCT	Qpct
8240	RAD54B	Rad54b
8242	RGS17	Rgs17
8243	RLF	Rlf
8244	RPS6KC1	Rps6kc1
8245	SEC14L2	Sec14l2
8246	SEC22A	Sec22a
8247	SEMA3E	Sema3e
8250	SPAG8	Spag8
8251	SNAPIN	Snapin
8252	SPAG6	Spag6
8256	STEAP1	Steap1
8258	SYNGR4	Syngr4
8260	TBL2	Tbl2
8261	PSD4	Psd4
8262	TIMM8B	Timm8b
8264	TINF2	Tinf2
8267	WBP1	Wbp1
8269	IKZF3	Ikzf3
8270	ZNF281	Zfp281
8271	HMMR	Hmmr
8276	SP1	Sp1
8279	AKAP11	Akap11
8280	ADARB1	Adarb1
8284	NXPH1	Nxph1
8285	ST8SIA3	St8sia3
8288	CNTF	Cntf
8289	ANKRD1	Ankrd1
8290	EIF2AK1	Eif2ak1
8291	FLRT2	Flrt2
8292	EIF3K	Eif3k
8293	DROSHA	Drosha
8297	MGAT4C	Mgat4c
8299	CLCF1	Clcf1
8301	NXT1	Nxt1
8302	CLEC5A	Clec5a
8303	DKK3	Dkk3
8305	MKLN1	Mkln1
8306	ZNF180	Zfp180
8307	PYCARD	Pycard
8308	SAP30BP	Sap30bp
8309	MYLIP	Mylip
8310	DDX25	Ddx25
8314	PRSS50	Prss50
8315	PCSK1N	Pcsk1n
8319	SHPK	Shpk
8320	IL17C	Il17c
8322	FLRT3	Flrt3
8323	MAT2B	Mat2b
8325	RBM15B	Rbm15b
8328	FAM216A	Fam216a
8331	ST8SIA5	St8sia5
8332	HOOK2	Hook2
8336	UBIAD1	Ubiad1
8337	HCFC2	Hcfc2
8338	SNX8	Snx8
8341	C18orf8	3110002H16Rik
8342	PARVB	Parvb
8343	PYCR2	Pycr2
8344	NME7	Nme7
8345	HILPDA	Hilpda
8346	GMPPA	Gmppa
8348	PCDHB1	Pcdhb1
8349	TFPT	Tfpt
8350	GPR132	Gpr132
8351	SNX12	Snx12
8352	NENF	Nenf
8353	TBX21	Tbx21
8354	DSE	Dse
8355	TMOD4	Tmod4
8357	PCOLCE2	Pcolce2
8358	PNMA3	Pnma3
8359	ANAPC2	Anapc2
8361	SERTAD3	Sertad3
8362	DNMT3L	Dnmt3l
8363	ZDHHC8	Zdhhc8
8365	SERTAD1	Sertad1
8372	DMGDH	Dmgdh
8373	NRBP1	Nrbp1
8374	USP25	Usp25
8378	STRN4	Strn4
8381	TNPO2	Tnpo2
8382	KCNIP3	Kcnip3
8383	RAX	Rax
8384	NCKAP1	Nckap1
8385	LRP12	Lrp12
8387	PILRA	Pilra
8388	RCAN3	Rcan3
8389	STOML2	Stoml2
8390	ST6GALNAC6	St6galnac6
8392	MKRN2	Mkrn2
8393	BAZ2A	Baz2a
8394	BAZ2B	Baz2b
8396	BCL2L10	Bcl2l10
8397	DSC2	Dsc2
8398	EPB41L4A	Epb4.1l4a
8400	GPR162	Gpr162
8401	LEPREL2	Leprel2
8402	C12orf57	Grcc10
8403	CDCA3	Cdca3
8404	SPSB2	Spsb2
8407	HEBP1	Hebp1
8408	HOXC4	Hoxc4
8409	HOXD9	Hoxd9
8410	KSR1	Ksr1
8411	COG1	Cog1
8414	MBD1	Mbd1
8415	MSH5	Msh5
8417	NODAL	Nodal
8421	OTOG	Otog
8422	POU5F1	Pou5f1
8423	PTPN5	Ptpn5
8425	SEMA4A	Sema4a
8426	SEMA4B	Sema4b
8427	SEMA5B	Sema5b
8428	SEMA6B	Sema6b
8429	SNAP91	Snap91
8430	SURF2	Surf2
8433	TCP11	Tcp11
8434	TCTE1	Tcte1
8435	UBP1	Ubp1
8438	FGD2	Fgd2
8439	KRTAP15-1	Krtap15
8440	B9D1	B9d1
8442	NRK	Nrk
8443	AZI2	Azi2
8445	MIXL1	Mixl1
8446	SGK2	Sgk2
8447	PLEK2	Plek2
8448	DOK3	Dok3
8449	PLEKHB1	Plekhb1
8450	CLNK	Clnk
8451	TNFRSF12A	Tnfrsf12a
8452	HRASLS	Hrasls
8453	PALD1	Pald1
8454	SYTL4	Sytl4
8455	MSRB1	Msrb1
8456	DGUOK	Dguok
8458	TJP3	Tjp3
8460	MAGEL2	Magel2
8461	NPAS3	Npas3
8462	PTDSS2	Ptdss2
8466	NAGPA	Nagpa
8468	DBNL	Dbnl
8469	GALNT1	Galnt1
8471	PLCB4	Plcb4
8475	GCAT	Gcat
8477	ZNHIT2	Znhit2
8478	LIMD1	Limd1
8479	ZNF385A	Zfp385a
8480	HSPB7	Hspb7
8481	TNFRSF19	Tnfrsf19
8482	SMTN	Smtn
8486	CABP5	Cabp5
8487	CABP2	Cabp2
8489	GTSE1	Gtse1
8490	CLIC4	Clic4
8492	DNAJC12	Dnajc12
8493	ZNF292	Zfp292
8494	HEYL	Heyl
8496	FBXW5	Fbxw5
8498	APLN	Apln
8499	ANGPTL3	Angptl3
8500	SNAI3	Snai3
8501	RNF19A	Rnf19a
8510	DDAH2	Ddah2
8512	DHX38	Dhx38
8514	ZBTB43	Zbtb43
8515	CCDC22	Ccdc22
8516	FOXP3	Foxp3
8517	DEXI	Dexi
8518	LAMTOR2	Lamtor2
8519	MRPS28	Mrps28
8521	TMEM176B	Tmem176b
8522	SSX2IP	Ssx2ip
8528	ASF1A	Asf1a
8529	SNX24	Snx24
8530	BZW2	Bzw2
8531	C11orf54	4931406C07Rik
8534	CHMP2B	Chmp2b
8535	LRP10	Lrp10
8537	C19orf53	D8Ertd738e
8539	ACAD9	Acad9
8540	TMEM14C	Tmem14c
8542	OGN	Ogn
8543	TMPRSS11E	Tmprss11e
8544	RGCC	Rgcc
8545	MAGEH1	Mageh1
8548	COMMD5	Commd5
8549	MACROD1	Macrod1
8553	KLF15	Klf15
8555	PPP1R8	Ppp1r8
8556	TRPS1	Trps1
8558	SMARCAL1	Smarcal1
8560	CD274	Cd274
8561	TMEM230	Tmem230
8562	WDR91	Wdr91
8563	ZC3H7A	Zc3h7a
8566	MRPL18	Mrpl18
8568	MED4	Med4
8570	METTL5	Mettl5
8572	CRIPT	Cript
8573	PHPT1	Phpt1
8574	BABAM1	Babam1
8575	THYN1	Thyn1
